Name,FQDN,Class,Is Virtual,Location,IP Address,Sub-Environment,Operational Status,Status (install_status),Operating System,OS Version,PCI Designation
eri2mqgapl16v,eri2mqgapl16v.corp.cvscaremark.com,Linux Server,TRUE,Woonsocket-1 CVS Drive,10.249.28.108,PROD,Operational,Installed,Linux Red Hat,8.1,Not PCI related
eri2mqgasl10v,eri2mqgasl10v.corp.cvscaremark.com,Linux Server,TRUE,Woonsocket-1 CVS Drive,10.249.9.123,SIT,Operational,Installed,Linux Red Hat,7.9,Not PCI related
eri2mqgasl11v,eri2mqgasl11v.corp.cvscaremark.com,Linux Server,TRUE,Woonsocket-1 CVS Drive,10.249.9.124,SIT,Operational,Installed,Linux Red Hat,7.9,Not PCI related
eri2mqsapl10v,,Linux Server,TRUE,,10.228.166.89,PROD,Operational,Installed,Red Hat Enterprise Linux Release 8.10 (ootpa),8.1,
eri2mqsapl11v,eri2mqsapl11v.corp.cvscaremark.com,Linux Server,TRUE,Cumberland-2100 Highland Corp,10.228.166.89,PROD,Operational,Installed,Linux Red Hat,8.1,Not PCI related
eri2mthadl10v,eri2mthadl10v,Linux Server,TRUE,Woonsocket-1 CVS Drive,10.249.8.33,DEV,Operational,Installed,RHEL8.10,8.1,Not PCI related
eri2mthatl10v,eri2mthatl10v,Linux Server,TRUE,Woonsocket-1 CVS Drive,10.249.8.35,TEST,Operational,Installed,RHEL8.10,8.1,Not PCI related
eri2mthatl11v,eri2mthatl11v.cvs.com,Linux Server,TRUE,Cumberland-2100 Highland Corp,10.6.184.187,TEST,Operational,Installed,Linux Red Hat,8.1,Not PCI related
eri2mthddw10v,eri2mthddw10v.corp.cvscaremark.com,Windows Server,TRUE,Woonsocket-1 CVS Drive,10.249.12.118,DEV,Operational,Installed,Windows 2016 Standard,10.0.14393,Not PCI related
eri2mthddw11v,eri2mthddw11v.corp.cvscaremark.com,Windows Server,TRUE,Offshore/Offsite CW,10.228.236.55,DEV,Operational,Installed,Windows 2019 Standard,10.0.17763,Not PCI related
eri2mthddw12v,eri2mthddw12v.corp.cvscaremark.com,Windows Server,TRUE,Woonsocket-1 CVS Drive,10.228.236.57,DEV,Operational,Installed,Windows 2019 Standard,10.0.17763,Not PCI related
eri2mthdtw10v,eri2mthdtw10v.corp.cvscaremark.com,Windows Server,TRUE,Offshore/Offsite CW,10.249.12.116,TEST,Operational,Installed,Windows 2016 Standard,10.0.14393,Not PCI related
eri2mthdtw11v,eri2mthdtw11v.corp.cvscaremark.com,Windows Server,TRUE,Woonsocket-1 CVS Drive,10.249.12.117,TEST,Operational,Installed,Windows 2016 Standard,10.0.14393,Not PCI related
eri2mypadw10v,eri2mypadw10v.corp.cvscaremark.com,Windows Server,TRUE,Woonsocket-1 CVS Drive,10.249.12.48,TEST,Operational,Installed,Windows 2019 Standard,10.0.17763,Not PCI related
eri2mypadw11v,ERI2MYPADW11V.corp.cvscaremark.com,Windows Server,TRUE,Woonsocket-1 CVS Drive,10.249.12.49,TEST,Operational,Installed,Windows 2019 Standard,10.0.17763,Not PCI related
eri2mypadw12v,eri2mypadw12v.corp.cvscaremark.com,Windows Server,TRUE,Woonsocket-1 CVS Drive,10.249.12.50,TEST,Operational,Installed,Windows 2019 Standard,10.0.17763,Not PCI related
eri2mypadw13v,,Windows Server,TRUE,,,DEV,Operational,Installed,Windows Server 2019 Standard,10.0.17763,Not PCI related
eri2mypapw10v,eri2mypapw10v.corp.cvscaremark.com,Windows Server,TRUE,Woonsocket-1 CVS Drive,10.249.20.22,PROD,Operational,Installed,Windows 2019 Standard,10.0.17763,Not PCI related
eri2mypapw11v,eri2mypapw11v.corp.cvscaremark.com,Windows Server,TRUE,Woonsocket-1 CVS Drive,10.249.20.23,PROD,Operational,Installed,Windows 2019 Standard,10.0.17763,Not PCI related
eri2mypapw12v,eri2mypapw12v.corp.cvscaremark.com,Windows Server,TRUE,Woonsocket-1 CVS Drive,10.249.20.25,PROD,Operational,Installed,Windows 2019 Standard,10.0.17763,Not PCI related
eri2mypapw13v,eri2mypapw13v.corp.omnicare.com,Windows Server,TRUE,Work At Home-New York,10.220.33.57,PROD,Operational,Installed,Windows Server 2019 Standard,10.0.17763,Not PCI related
eri2mypapw16v,eri2mypapw16v.corp.cvscaremark.com,Windows Server,TRUE,Woonsocket-1 CVS Drive,10.249.20.90,PROD,Operational,Installed,Windows 2019 Standard,10.0.17763,Not PCI related
eri2mypddw10v,eri2mypddw10v.corp.cvscaremark.com,Windows Server,TRUE,Woonsocket-1 CVS Drive,10.249.13.15,DEV,Operational,Installed,Windows 2019 Standard,10.0.17763,Not PCI related
eri2mypdpw10v,eri2mypdpw10v.corp.cvscaremark.com,Windows Server,TRUE,Woonsocket-1 CVS Drive,10.249.20.87,PROD,Operational,Installed,Windows 2019 Standard,10.0.17763,Not PCI related
ERI2NECAPP10v,ERI2NECAPP10v.corp.cvscaremark.com,Appliance,TRUE,Woonsocket-1 CVS Drive,10.228.164.15,PROD,Operational,Installed,Appliance,,Not PCI related
eri2necapw10v,eri2necapw10v.corp.cvscaremark.com,Windows Server,TRUE,Work At Home-Kansas,10.249.36.98,PROD,Operational,Installed,Windows 2019 Standard,10.0.17763,Not PCI related
eri2nifapl10p,eri2nifapl10p.corp.cvscaremark.com,Linux Server,FALSE,Woonsocket-1 CVS Drive,10.220.161.149,PROD,Operational,Installed,Linux Red Hat,8.1,PCI Security Tool
eri2nifapl10v,eri2nifapl10v.corp.cvscaremark.com,Linux Server,TRUE,Woonsocket-1 CVS Drive,10.249.16.113,PROD,Operational,Installed,Linux Red Hat,8.1,PCI Security Tool
eri2nifapl11p,eri2nifapl11p.corp.cvscaremark.com,Linux Server,FALSE,Woonsocket-1 CVS Drive,10.220.161.150,PROD,Operational,Installed,Linux Red Hat,8.1,PCI Security Tool
eri2nifapl11v,eri2nifapl11v.corp.cvscaremark.com,Linux Server,TRUE,Woonsocket-1 CVS Drive,10.249.16.115,PROD,Operational,Installed,Linux Red Hat,8.1,PCI Security Tool
eri2nifapl12p,eri2nifapl12p.corp.cvscaremark.com,Linux Server,FALSE,Woonsocket-1 CVS Drive,10.220.161.158,PROD,Operational,Installed,Linux Red Hat,8.1,PCI Security Tool
eri2nifapl12v,eri2nifapl12v.corp.cvscaremark.com,Linux Server,TRUE,Woonsocket-1 CVS Drive,10.249.16.116,PROD,Operational,Installed,Linux Red Hat,8.1,PCI Security Tool
eri2nifapl13p,eri2nifapl13p.corp.cvscaremark.com,Linux Server,FALSE,Woonsocket-1 CVS Drive,10.220.161.159,PROD,Operational,Installed,Linux Red Hat,8.1,PCI Security Tool
eri2nifapl13v,eri2nifapl13v.corp.cvscaremark.com,Linux Server,TRUE,,10.249.16.114,,Non-Operational,Retired,Linux Red Hat,8.1,
eri2nifapl14p,eri2nifapl14p.corp.cvscaremark.com,Linux Server,FALSE,Woonsocket-1 CVS Drive,10.220.161.160,PROD,Operational,Installed,Linux Red Hat,8.1,PCI Security Tool
eri2nifapl14v,eri2nifapl14v.corp.cvscaremark.com,Linux Server,TRUE,,10.249.16.118,,Non-Operational,Retired,Linux Red Hat,8.1,
eri2nifapl15v,eri2nifapl15v.corp.cvscaremark.com,Linux Server,TRUE,,10.249.16.119,,Non-Operational,Retired,Linux Red Hat,8.1,
eri2nifapl16v,eri2nifapl16v.corp.cvscaremark.com,Linux Server,TRUE,,10.249.16.120,,Non-Operational,Retired,Linux Red Hat,8.1,
eri2nifapl17v,eri2nifapl17v.corp.cvscaremark.com,Linux Server,TRUE,,10.249.16.121,,Non-Operational,Retired,Linux Red Hat,8.1,
eri2nifapl18v,eri2nifapl18v.corp.cvscaremark.com,Linux Server,TRUE,,10.249.16.122,,Non-Operational,Retired,Linux Red Hat,8.1,
eri2nifapl19v,eri2nifapl19v.corp.cvscaremark.com,Linux Server,TRUE,,10.249.16.124,,Non-Operational,Retired,Linux Red Hat,8.1,
eri2nifapl20v,eri2nifapl20v.corp.cvscaremark.com,Linux Server,TRUE,,10.249.16.123,,Non-Operational,Retired,Linux Red Hat,8.1,
eri2nifapl21v,eri2nifapl21v.corp.cvscaremark.com,Linux Server,TRUE,,10.249.16.125,,Non-Operational,Retired,Linux Red Hat,8.1,
eri2obmadw101v,eri2obmadw101v.corp.cvscaremark.com,Windows Server,TRUE,Woonsocket-1 CVS Drive,10.18.3.122,DEV,Operational,Installed,Windows 2016 Standard,10.0.14393,Not PCI related
eri2obmadw102v,eri2obmadw102v.corp.cvscaremark.com,Windows Server,TRUE,Woonsocket-1 CVS Drive,10.18.3.123,DEV,Operational,Installed,Windows 2016 Standard,10.0.14393,Not PCI related
eri2obmadw103v,eri2obmadw103v.corp.cvscaremark.com,Windows Server,TRUE,Offshore/Offsite CW,10.18.3.124,DEV,Operational,Installed,Windows 2016 Standard,10.0.14393,Not PCI related
eri2obmadw104v,eri2obmadw104v.corp.cvscaremark.com,Windows Server,TRUE,Woonsocket-1 CVS Drive,10.18.3.125,DEV,Operational,Installed,Windows 2016 Standard,10.0.14393,Not PCI related
eri2obmadw10v,eri2obmadw10v.corp.cvscaremark.com,Windows Server,TRUE,Woonsocket-1 CVS Drive,10.249.12.252,DEV,Operational,Installed,Windows 2019 Standard,10.0.17763,Not PCI related
eri2obmadw201v,eri2obmadw201v.corp.cvscaremark.com,Windows Server,TRUE,Offshore/Offsite CW,10.18.3.126,DEV,Operational,Installed,Windows 2016 Standard,10.0.14393,Not PCI related
eri2obmadw202v,eri2obmadw202v.corp.cvscaremark.com,Windows Server,TRUE,Offshore/Offsite CW,10.18.3.127,DEV,Operational,Installed,Windows 2016 Standard,10.0.14393,Not PCI related
eri2obmadw203v,eri2obmadw203v.corp.cvscaremark.com,Windows Server,TRUE,Woonsocket-1 CVS Drive,10.18.3.128,DEV,Operational,Installed,Windows 2016 Standard,10.0.14393,Not PCI related
eri2obmadw204v,eri2obmadw204v.corp.cvscaremark.com,Windows Server,TRUE,Offshore/Offsite CW,10.18.3.129,DEV,Operational,Installed,Windows 2016 Standard,10.0.14393,Not PCI related
eri2obmadw205v,eri2obmadw205v.corp.cvscaremark.com,Windows Server,TRUE,Woonsocket-1 CVS Drive,10.18.3.130,DEV,Operational,Installed,Windows 2016 Standard,10.0.14393,Not PCI related
eri2obmadw206v,eri2obmadw206v.corp.cvscaremark.com,Windows Server,TRUE,Woonsocket-1 CVS Drive,10.18.3.131,DEV,Operational,Installed,Windows 2016 Standard,10.0.14393,Not PCI related
eri2obmadw207v,eri2obmadw207v.corp.cvscaremark.com,Windows Server,TRUE,Woonsocket-1 CVS Drive,10.18.3.132,DEV,Operational,Installed,Windows 2016 Standard,10.0.14393,Not PCI related
eri2obmadw501v,,Windows Server,TRUE,,,,Non-Operational,Retired,Windows Server 2016 Standard,10.0.14393,
eri2obmapw101v,eri2obmapw101v.corp.cvscaremark.com,Windows Server,TRUE,Woonsocket-1 CVS Drive,10.18.3.140,PROD,Operational,Installed,Windows 2016 Standard,10.0.14393,Not PCI related
eri2obmapw102v,eri2obmapw102v.corp.cvscaremark.com,Windows Server,TRUE,Woonsocket-1 CVS Drive,10.18.3.141,PROD,Operational,Installed,Windows 2016 Standard,10.0.14393,Not PCI related
eri2obmapw103v,eri2obmapw103v.corp.cvscaremark.com,Windows Server,TRUE,Woonsocket-1 CVS Drive,10.18.3.142,PROD,Operational,Installed,Windows 2016 Standard,10.0.14393,Not PCI related
eri2obmapw104v,eri2obmapw104v.corp.cvscaremark.com,Windows Server,TRUE,Woonsocket-1 CVS Drive,10.18.3.143,PROD,Operational,Installed,Windows 2016 Standard,10.0.14393,Not PCI related
eri2obmapw10v,eri2obmapw10v.corp.cvscaremark.com,Windows Server,TRUE,Offshore/Offsite CW,10.249.21.0,PROD,Operational,Installed,Windows 2019 Standard,10.0.17763,Not PCI related
eri2obmapw201v,eri2obmapw201v.corp.cvscaremark.com,Windows Server,TRUE,Offshore/Offsite CW,10.18.3.144,PROD,Operational,Installed,Windows 2016 Standard,10.0.14393,Not PCI related
eri2obmapw202v,eri2obmapw202v.corp.cvscaremark.com,Windows Server,TRUE,Offshore/Offsite CW,10.18.3.145,PROD,Operational,Installed,Windows 2016 Standard,10.0.14393,Not PCI related
eri2obmapw203v,eri2obmapw203v.corp.cvscaremark.com,Windows Server,TRUE,Offshore/Offsite CW,10.18.3.146,PROD,Operational,Installed,Windows 2016 Standard,10.0.14393,Not PCI related
eri2obmapw204v,eri2obmapw204v.corp.cvscaremark.com,Windows Server,TRUE,Woonsocket-1 CVS Drive,10.18.3.147,PROD,Operational,Installed,Windows 2016 Standard,10.0.14393,Not PCI related
eri2obmapw205v,eri2obmapw205v.corp.cvscaremark.com,Windows Server,TRUE,Woonsocket-1 CVS Drive,10.18.3.148,PROD,Operational,Installed,Windows 2016 Standard,10.0.14393,Not PCI related
eri2obmapw206v,eri2obmapw206v.corp.cvscaremark.com,Windows Server,TRUE,Woonsocket-1 CVS Drive,10.18.3.149,PROD,Operational,Installed,Windows 2016 Standard,10.0.14393,Not PCI related
eri2obmapw207v,eri2obmapw207v.corp.cvscaremark.com,Windows Server,TRUE,Woonsocket-1 CVS Drive,10.18.3.150,PROD,Operational,Installed,Windows 2016 Standard,10.0.14393,Not PCI related
eri2obmapw208v,eri2obmapw208v.corp.cvscaremark.com,Windows Server,TRUE,Woonsocket-1 CVS Drive,10.18.3.151,PROD,Operational,Installed,Windows 2016 Standard,10.0.14393,Not PCI related
eri2obmapw209v,eri2obmapw209v.corp.cvscaremark.com,Windows Server,TRUE,Offshore/Offsite CW,10.18.3.152,PROD,Operational,Installed,Windows 2016 Standard,10.0.14393,Not PCI related
eri2obmapw210v,eri2obmapw210v.corp.cvscaremark.com,Windows Server,TRUE,Offshore/Offsite CW,10.18.3.153,PROD,Operational,Installed,Windows 2016 Standard,10.0.14393,Not PCI related
eri2obmapw211v,eri2obmapw211v.corp.cvscaremark.com,Windows Server,TRUE,Woonsocket-1 CVS Drive,10.18.3.154,PROD,Operational,Installed,Windows 2016 Standard,10.0.14393,Not PCI related
eri2obmapw212v,eri2obmapw212v.corp.cvscaremark.com,Windows Server,TRUE,Woonsocket-1 CVS Drive,10.18.3.155,PROD,Operational,Installed,Windows 2016 Standard,10.0.14393,Not PCI related
eri2obmapw213v,eri2obmapw213v.corp.cvscaremark.com,Windows Server,TRUE,Offshore/Offsite CW,10.18.3.156,PROD,Operational,Installed,Windows 2016 Standard,10.0.14393,Not PCI related
eri2obmapw214v,eri2obmapw214v.corp.cvscaremark.com,Windows Server,TRUE,Offshore/Offsite CW,10.18.3.157,PROD,Operational,Installed,Windows 2016 Standard,10.0.14393,Not PCI related
eri2obmapw215v,eri2obmapw215v.corp.cvscaremark.com,Windows Server,TRUE,Offshore/Offsite CW,10.18.3.158,PROD,Operational,Installed,Windows 2016 Standard,10.0.14393,Not PCI related
eri2obmapw216v,eri2obmapw216v.corp.cvscaremark.com,Windows Server,TRUE,Woonsocket-1 CVS Drive,10.18.3.159,PROD,Operational,Installed,Windows 2016 Standard,10.0.14393,Not PCI related
eri2obmapw217v,eri2obmapw217v.corp.cvscaremark.com,Windows Server,TRUE,Offshore/Offsite CW,10.18.3.160,PROD,Operational,Installed,Windows 2016 Standard,10.0.14393,Not PCI related
eri2obmapw219v,eri2obmapw219v.corp.cvscaremark.com,Windows Server,TRUE,Offshore/Offsite CW,10.220.161.181,PROD,Operational,Installed,Windows 2019 Standard,10.0.17763,Not PCI related
eri2obmapw220v,eri2obmapw220v.corp.cvscaremark.com,Windows Server,TRUE,Cumberland-2100 Highland Corp,10.220.161.182,PROD,Operational,Installed,Windows 2019 Standard,10.0.17763,Not PCI related
eri2obmapw221v,eri2obmapw221v.corp.cvscaremark.com,Windows Server,TRUE,Cumberland-2100 Highland Corp,10.220.161.183,PROD,Operational,Installed,Windows 2019 Standard,10.0.17763,Not PCI related
eri2obmapw222v,eri2obmapw222v.corp.cvscaremark.com,Windows Server,TRUE,Offshore/Offsite CW,10.220.161.184,PROD,Operational,Installed,Windows 2019 Standard,10.0.17763,Not PCI related
eri2obmapw223v,eri2obmapw223v.corp.cvscaremark.com,Windows Server,TRUE,Work At Home-California,10.220.161.185,PROD,Operational,Installed,Windows 2019 Standard,10.0.17763,Not PCI related
eri2obmapw224v,eri2obmapw224v.corp.cvscaremark.com,Windows Server,TRUE,Offshore/Offsite CW,10.220.161.186,PROD,Operational,Installed,Windows 2019 Standard,10.0.17763,Not PCI related
eri2obmapw225v,eri2obmapw225v.corp.cvscaremark.com,Windows Server,TRUE,Cumberland-2100 Highland Corp,10.220.161.187,PROD,Operational,Installed,Windows 2019 Standard,10.0.17763,Not PCI related
eri2obmapw226v,eri2obmapw226v.corp.cvscaremark.com,Windows Server,TRUE,Cumberland-2100 Highland Corp,10.220.161.188,PROD,Operational,Installed,Windows 2019 Standard,10.0.17763,Not PCI related
eri2obmapw227v,eri2obmapw227v.corp.cvscaremark.com,Windows Server,TRUE,Work At Home-California,10.220.161.189,PROD,Operational,Installed,Windows 2019 Standard,10.0.17763,Not PCI related
eri2obmapw228v,eri2obmapw228v.corp.cvscaremark.com,Windows Server,TRUE,Cumberland-2100 Highland Corp,10.220.161.196,PROD,Operational,Installed,Windows 2019 Standard,10.0.17763,Not PCI related
eri2obmapw301v,eri2obmapw301v.corp.cvscaremark.com,Windows Server,TRUE,,10.228.165.126,,Non-Operational,Retired,Windows 2016 Standard,10.0.14393,Not PCI related
eri2obmapw351v,eri2obmapw351v.corp.cvscaremark.com,Windows Server,TRUE,,10.228.165.127,,Non-Operational,Retired,Windows 2016 Standard,10.0.14393,Not PCI related
eri2obmapw451v,eri2obmapw451v.corp.cvscaremark.com,Windows Server,TRUE,Woonsocket-1 CVS Drive,10.18.3.164,PROD,Operational,Installed,Windows 2016 Standard,10.0.14393,Not PCI related
eri2obmapw452v,eri2obmapw452v.corp.cvscaremark.com,Windows Server,TRUE,Woonsocket-1 CVS Drive,10.18.3.165,PROD,Operational,Installed,Windows 2016 Standard,10.0.14393,Not PCI related
eri2obmapw453v,eri2obmapw453v.corp.cvscaremark.com,Windows Server,TRUE,Woonsocket-1 CVS Drive,10.18.3.166,PROD,Operational,Installed,Windows 2016 Standard,10.0.14393,Not PCI related
eri2obmapw454v,eri2obmapw454v.corp.cvscaremark.com,Windows Server,TRUE,Woonsocket-1 CVS Drive,10.18.3.167,PROD,Operational,Installed,Windows 2016 Standard,10.0.14393,Not PCI related
eri2obmapw455v,eri2obmapw455v.corp.cvscaremark.com,Windows Server,TRUE,Woonsocket-1 CVS Drive,10.18.3.168,PROD,Operational,Installed,Windows 2016 Standard,10.0.14393,Not PCI related
eri2obmapw456v,eri2obmapw456v.corp.cvscaremark.com,Windows Server,TRUE,Woonsocket-1 CVS Drive,10.18.3.169,PROD,Operational,Installed,Windows 2016 Standard,10.0.14393,Not PCI related
eri2obmapw475v,eri2obmapw475v.corp.cvscaremark.com,Windows Server,TRUE,Offshore/Offsite CW,10.220.160.244,PROD,Operational,Installed,Windows 2019 Standard,10.0.17763,Not PCI related
eri2obmapw501v,,Windows Server,TRUE,,,,Non-Operational,Retired,Windows Server 2016 Standard,10.0.14393,
eri2obmapw601v,eri2obmapw601v.corp.cvscaremark.com,Windows Server,TRUE,Woonsocket-1 CVS Drive,10.18.3.185,PROD,Operational,Installed,Windows 2016 Standard,10.0.14393,Not PCI related
eri2palapdl1a,eri2palapdl1a.corp.cvscaremark.com,Linux Server,TRUE,Woonsocket-1 CVS Drive,10.228.164.78,PROD,Operational,Installed,Linux Red Hat,8.1,Not PCI related
eri2pardpw10v,eri2pardpw10v.corp.cvscaremark.com,Windows Server,TRUE,Offshore/Offsite CW,10.228.167.86,PROD,Operational,Installed,Windows 2019 Standard,10.0.17763,Not PCI related
eri2pardpw11v,eri2pardpw11v.corp.cvscaremark.com,Windows Server,TRUE,Woonsocket-1 CVS Drive,10.228.167.190,PROD,Operational,Installed,Windows 2022 Standard,10.0.20348,Not PCI related
eri2parwpw10v,eri2parwpw10v.corp.cvscaremark.com,Windows Server,TRUE,Woonsocket-1 CVS Drive,10.228.167.87,PROD,Operational,Installed,Windows 2019 Standard,10.0.17763,Not PCI related
eri2parwpw11v,eri2parwpw11v.corp.cvscaremark.com,Windows Server,TRUE,Woonsocket-1 CVS Drive,10.228.228.41,PROD,Operational,Installed,Windows 2022 Standard,10.0.20348,Not PCI related
eri2pdsadl10v,eri2pdsadl10v.corp.cvscaremark.com,Linux Server,TRUE,Woonsocket-1 CVS Drive,10.228.238.107,DEV,Operational,Installed,Linux Red Hat,8.1,Not PCI related
eri2pdsadl11v,eri2pdsadl11v.corp.cvscaremark.com,Linux Server,TRUE,Woonsocket-1 CVS Drive,10.228.238.109,DEV,Operational,Installed,Linux Red Hat,8.1,Not PCI related
eri2pdsapl10v,eri2pdsapl10v.corp.cvscaremark.com,Linux Server,TRUE,Woonsocket-1 CVS Drive,10.249.28.129,UAT,Operational,Installed,Linux Red Hat,8.1,Not PCI related
eri2pdsapl11v,eri2pdsapl11v.corp.cvscaremark.com,Linux Server,TRUE,Woonsocket-1 CVS Drive,10.249.28.197,PROD,Operational,Installed,Linux Red Hat,8.1,Not PCI related
eri2pdsapl12v,eri2pdsapl12v.corp.cvscaremark.com,Linux Server,TRUE,Woonsocket-1 CVS Drive,10.249.28.198,PROD,Operational,Installed,Linux Red Hat,8.1,Not PCI related
eri2pdsaul10v,eri2pdsaul10v.corp.cvscaremark.com,Linux Server,TRUE,Woonsocket-1 CVS Drive,10.228.126.26,UAT,Operational,Installed,RHEL8.10,8.1,Not PCI related
eri2pdsaul11v,eri2pdsaul11v.corp.cvscaremark.com,Linux Server,TRUE,Woonsocket-1 CVS Drive,10.228.126.143,UAT,Operational,Installed,RHEL8.10,8.1,Not PCI related
eri2piiadl10v,eri2piiadl10v.corp.cvscaremark.com,Linux Server,TRUE,Woonsocket-1 CVS Drive,10.228.238.88,DEV,Operational,Installed,Linux Red Hat,8.1,Not PCI related
eri2piiadl11v,eri2piiadl11v.corp.cvscaremark.com,Linux Server,TRUE,Woonsocket-1 CVS Drive,10.228.238.99,DEV,Operational,Installed,Linux Red Hat,8.1,Not PCI related
eri2piiapl10v,eri2piiapl10v.corp.cvscaremark.com,Linux Server,TRUE,Woonsocket-1 CVS Drive,10.249.28.192,PROD,Operational,Installed,Linux Red Hat,8.1,Not PCI related
eri2piiapl11v,eri2piiapl11v.corp.cvscaremark.com,Linux Server,TRUE,Woonsocket-1 CVS Drive,10.249.28.193,PROD,Operational,Installed,Linux Red Hat,8.1,Not PCI related
eri2piiapl12v,eri2piiapl12v.corp.cvscaremark.com,Linux Server,TRUE,Woonsocket-1 CVS Drive,10.249.28.194,PROD,Operational,Installed,Linux Red Hat,8.1,Not PCI related
eri2piiapl13v,eri2piiapl13v.corp.cvscaremark.com,Linux Server,TRUE,Woonsocket-1 CVS Drive,10.249.28.195,PROD,Operational,Installed,Linux Red Hat,8.1,Not PCI related
eri2piiapl14v,eri2piiapl14v.corp.cvscaremark.com,Linux Server,TRUE,Woonsocket-1 CVS Drive,10.249.28.196,PROD,Operational,Installed,Linux Red Hat,8.1,Not PCI related
eri2piiaul10v,eri2piiaul10v.corp.cvscaremark.com,Linux Server,TRUE,Woonsocket-1 CVS Drive,10.228.126.140,TEST,Operational,Installed,RHEL8.10,8.1,Not PCI related
eri2piiaul11v,eri2piiaul11v.corp.cvscaremark.com,Linux Server,TRUE,Woonsocket-1 CVS Drive,10.228.126.141,TEST,Operational,Installed,RHEL8.10,8.1,Not PCI related
eri2piiaul12v,eri2piiaul12v.corp.cvscaremark.com,Linux Server,TRUE,Woonsocket-1 CVS Drive,10.228.126.142,UAT,Operational,Installed,RHEL8.10,8.1,Not PCI related
eri2pkiadw10v,eri2pkiadw10v.test.cvscaremark.com,Windows Server,TRUE,Cumberland-2100 Highland Corp,10.228.243.148,DEV,Operational,Installed,Windows 2022 Standard,10.0.20348,Not PCI related
eri2pkiapw10v,eri2pkiapw10v.corp.cvscaremark.com,Windows Server,TRUE,Offshore/Offsite CW,10.228.167.137,PROD,Operational,Installed,Windows 2022 Standard,10.0.20348,Not PCI related
eri2pkiapw11v,eri2pkiapw11v.corp.cvscaremark.com,Windows Server,TRUE,Work At Home-Arizona,10.228.167.138,PROD,Operational,Installed,Windows 2022 Standard,10.0.20348,Not PCI related
eri2ptfapw10v,eri2ptfapw10v.corp.cvscaremark.com,Windows Server,TRUE,Cumberland-2100 Highland Corp,10.220.160.206,PROD,Non-Operational,Retired,Windows 2019 Standard,10.0.17763,Not PCI related
eri2puiapw10v,eri2puiapw10v.corp.cvscaremark.com,Windows Server,TRUE,Rhode Island,10.249.36.110,PROD,Operational,Installed,Windows Server 2022 Standard,10.0.20348,Not PCI related
eri2rhldl10v,eri2rhldl10v.corp.cvscaremark.com,Linux Server,TRUE,,10.228.242.54,,Non-Operational,Retired,Linux Red Hat,8.1,
eri2rhldl11v,eri2rhldl11v.corp.cvscaremark.com,Linux Server,TRUE,,10.228.242.63,,Non-Operational,Retired,Red Hat Enterprise Linux Release 9.5 (plow),9.5,
eri2rhldl12v,eri2rhldl12v.corp.cvscaremark.com,Linux Server,TRUE,,10.228.242.67,,Non-Operational,Retired,Red Hat Enterprise Linux Release 8.10 (ootpa),8.1,
eri2rhldl13v,eri2rhldl13v.corp.cvscaremark.com,Linux Server,TRUE,Cumberland-2100 Highland Corp,10.228.242.53,PROD,Operational,Installed,RHEL9.6,9.6,
eri2rhldl14v,eri2rhldl14v.corp.cvscaremark.com,Linux Server,TRUE,,10.228.242.58,,Non-Operational,Retired,Linux Red Hat,8.1,
eri2rhldl15v,eri2rhldl15v.corp.cvscaremark.com,Linux Server,TRUE,,10.228.242.58,,Non-Operational,Retired,Red Hat Enterprise Linux Release 8.10 (ootpa),8.1,
eri2rhldl16v,eri2rhldl16v.corp.cvscaremark.com,Linux Server,TRUE,,10.228.242.76,,Non-Operational,Retired,Red Hat Enterprise Linux Release 8.10 (ootpa),8.1,
eri2rhldl17v,eri2rhldl17v.corp.cvscaremark.com,Linux Server,TRUE,,10.228.242.63,,Non-Operational,Retired,Red Hat Enterprise Linux Release 9.5 (plow),9.5,
eri2rhldl18v,eri2rhldl18v.corp.cvscaremark.com,Linux Server,TRUE,,10.228.242.78,,Non-Operational,Retired,Red Hat Enterprise Linux Release 8.10 (ootpa),8.1,
eri2rhldl19v,eri2rhldl19v.corp.cvscaremark.com,Linux Server,TRUE,,10.228.242.60,,Non-Operational,Retired,Red Hat Enterprise Linux Release 9.5 (plow),9.5,
eri2rhldl20v,,Linux Server,TRUE,,10.228.242.80,,Non-Operational,Retired,Red Hat Enterprise Linux Release 8.10 (ootpa),8.1,
eri2rhldl21v,,Linux Server,TRUE,,10.228.242.53,,Non-Operational,Retired,Red Hat Enterprise Linux Release 8.10 (ootpa),8.1,
eri2rhldl22v,eri2rhldl22v.corp.cvscaremark.com,Linux Server,TRUE,,10.228.242.85,,Non-Operational,Retired,Red Hat Enterprise Linux Release 9.5 (plow),9.5,
eri2rhldl23v,,Linux Server,TRUE,,10.228.242.86,,Non-Operational,Retired,Red Hat Enterprise Linux Release 8.10 (ootpa),8.1,
eri2rhldl24v,,Linux Server,TRUE,,10.228.242.87,,Non-Operational,Retired,Red Hat Enterprise Linux Release 9.5 (plow),9.5,
eri2rhldl25v,,Linux Server,TRUE,,10.228.242.88,,Non-Operational,Retired,Red Hat Enterprise Linux Release 8.10 (ootpa),8.1,
eri2rhldl26v,,Linux Server,TRUE,,10.228.242.90,,Non-Operational,Retired,Red Hat Enterprise Linux Release 9.5 (plow),9.5,
eri2rhldl27v,eri2rhldl27v.corp.cvscaremark.com,Linux Server,TRUE,,10.228.242.79,,Non-Operational,Retired,RHEL8.10,,
